Názov školy;Obec;Ulica;PSČ
Katolícka spojená škola sv. Vincenta de Paul;Levice;Saratovská 87;93405
Súkromné gymnázium;Topoľčany;Gagarinova 1;95501
Katolícka spojená škola F. Fegyvernekiho s vyučovacím jazykom maďatským - Fegyverneki Ferenc Közös Igazgatású Katolikus;Šahy;Slov.národ.povstania 4;93601
Stredná zdravotnícka škola;Nitra;Farská 23;95050
Stredná zdravotnícka škola - Egészségügyi Középiskola;Nové Zámky;Pod kalváriou 1;94001
Stredná zdravotnícka škola sv. Vincenta de Paul;Topoľčany;17. novembra 1056;95501
Súkromné konzervatórium Dezidera Kardoša;Topoľčany;Gagarinova 2490/13;95501
Súkromné konzervatórium;Nitra;Krčméryho 2;94901
Súkromná škola úžitkového výtvarníctva;Topoľčany;Gagarinova 2490/13;95501
Súkromná stredná umelecká škola dizajnu;Nitra;Škultétyho ul. 1;94911
Stredná umelecká škola Ladislava Bielika;Levice;Vajanského 23;93403
Súkromná stredná odborná škola pedagogická;Topoľčany;Tovarnícka 1641;95501
Súkromná stredná odborná škola ANIMUS;Nitra;Levická cesta 40;94901
Súkromná stredná odborná škola s vyučovacím jazykom maďarským - Magyar Tannyelvű Magán Szakközépiskola;Dolné Obdokovce;Dolné Obdokovce 71;95102
Stredná odborná škola;Nitra;Cintorínska 4;95050
Stredná odborná škola dopravy a služieb;Nové Zámky;Jesenského 1;94062
Stredná odborná škola - Szakközépiskola;Dvory nad Žitavou;Hlavné námestie 2;94131
Stredná odborná škola techniky a služieb;Topoľčany;Tovarnícka 1609;95582
Stredná odborná škola agrotechnická;Topoľčany;Tovarnícka 1632;95529
Stredná odborná škola techniky, služieb a obchodu - Műszaki, Szolgáltatások és Kereskedelmi Szakközépiskola;Štúrovo;Svätého Štefana 81;94303
Stredná odborná škola služieb;Levice;Sv. Michala 36;93480
Stredná odborná škola - Szakközépiskola;Kravany nad Dunajom;Dunajský rad 138;94636
Súkromná stredná odborná škola, Magán Szakközépiskola;Bátorove Kosihy;Hlavné námestie 35;94634
Súkromná stredná odborná škola s vyučovacím jazykom maďarským - Magyar Tannyelvű Magán Szakközépiskola;Kolárovo;Slovenská 52;94603
Stredná odborná škola - Szakközépiskola;Šahy;Slov.národ.povstania 41;93601
Stredná odborná škola gastronómie a služieb;Šurany;Hviezdoslavova 55;94201
Stredná odborná škola technická - Műszaki Szakközépiskola;Komárno;Bratislavská cesta 10;94525
Stredná odborná škola;Kalná nad Hronom;Mieru 23;93532
Stredná odborná škola;Levice;Pod amfiteátrom 7;93401
Súkromná stredná odborná škola - Magán Szakközépiskola - ako organizačná zložka Súkromnej spojenej školy - Kereskedelmi;Štúrovo;Svätého Štefana 648/36;94301
Stredná odborná škola stavebná;Nitra;Nábrežie mládeže 1;95028
Stredná odborná škola gastronómie a cestovného ruchu;Nitra;Levická 40;95003
Stredná odborná škola stavebná - Építészeti Szakközépiskola;Nové Zámky;Nitrianska cesta 61;94001
Stredná odborná škola ako organizačná zložka Spojenej školy;Šaľa;Nivy 2;92705
Stredná odborná škola techniky a mechanizácie - Műszaki és Gépesítési Szakközépiskola;Hurbanovo;1. mája 1;94701
Stredná odborná škola - Szakközépiskola;Šaľa;Štúrova 74;92701
Stredná odborná škola pri Reedukačnom centre;Zlaté Moravce;Prílepská 6;95301
Stredná odborná škola potravinárska;Nitra;Cabajská 6;94901
Stredná odborná škola potravinárska;Topoľčany;Krušovská 2091;95501
Stredná odborná škola drevárska;Topoľčany;Pílska 7;95501
Stredná priemyselná škola stavebná - Építőipari Szakközépiskola;Hurbanovo;Konkolyho 8;94701
Stredná priemyselná škola stavebná;Nitra;Cabajská 4;95050
Stredná priemyselná škola - Ipari Szakközépiskola;Komárno;Petőfiho 2;94550
Stredná priemyselná škola;Levice;F. Hečku 25;93447
Stredná priemyselná škola strojnícka a elektrotechnická;Nitra;Fraňa Kráľa 20;94901
Stredná priemyselná škola ako organizačná zložka Spojenej školy;Šaľa;Nivy 2;92705
Stredná priemyselná škola potravinárska ako organizačná zložka Spojenej školy;Nitra;Slančíkovej 2;95050
Stredná odborná škola poľnohospodárstva a služieb na vidieku;Levice;Na lúkach 18;93403
Stredná odborná škola veterinárna;Nitra;Drážovská 14;95012
Hotelová akadémia ako organizačná zložka Spojenej školy;Nitra;Slančíkovej 2;95050
